id,name,district,tu,naat_hub,device_type,lat,lon,monthly_capacity,current_cases,presumptive_tests,population,has_uniamp
F001,Thangal Uphc,Chennai,Thiruvetriyur,Eranavoor UPHC,Uniamp,13.1882,80.3089,260,28,844,55111,True
F002,HWC Annai sivagami nagar (Div3),Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.190783,80.29815,0,0,37,25000,False
F003,HWC Ondikuppam Tnuhb ( Dhobikana) div-14,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.179851,80.304096,0,2,37,25000,False
F004,HWC Pattithar Kovil Market (div 9),Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.193694,80.317701,0,0,37,25000,False
F005,HWC Ramasamy Nagar (div7),Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.198365,80.300008,0,2,37,25000,False
F006,HWC Srirangam Newtown (div5),Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.184258,80.298294,0,2,37,25000,False
F007,HWC Thalan kuppam(div1),Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.178159,80.312561,0,2,37,25000,False
F008,HWC Varadharaja Perumal Kovil Street (div13),Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.172396,80.303365,0,0,37,25000,False
F009,HWC West Mada Street (div 10),Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.191097,80.313748,0,2,37,25000,False
F010,kathivakkam UPHC,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.178213,80.315078,0,3,67,45000,False
F011,kuppam UPHC,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.195883,80.297595,0,0,67,45000,False
F012,Poongavanapuram UPHC,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.195775,80.318344,0,0,67,45000,False
F013,Sathankadu UPHC,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.181808,80.302064,0,0,67,45000,False
F014,SUGAM HOSPITAL,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.200316,80.307498,0,3,120,80000,False
F015,THIRUVETRIYUR GH,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.174382,80.300301,0,1,52,35000,False
F016,ADYAR UCHC,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.197025,80.315512,0,4,67,45000,False
F017,ADYAR UPHC (BESANT NAGAR UPHC),Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.195814,80.319292,0,4,67,45000,False
F018,HWC-171-KAMARAJAR SALAI,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.187687,80.326593,0,0,37,25000,False
F019,MANDAVELI UPHC,Chennai,Thiruvetriyur,Eranavoor UPHC,None,13.182956,80.313961,0,4,67,45000,False
F020,Lakshmipuram Uphc,Chennai,Madhavaram,Puzhal UPHC,Uniamp,13.1587,80.2311,260,56,2200,71110,True
F021,Samy Nagar Uphc,Chennai,Madhavaram,Puzhal UPHC,Uniamp,13.1502,80.2198,260,57,1316,70420,True
F022,ARUL NAGAR HWC 27,Chennai,Madhavaram,Puzhal UPHC,None,13.174382,80.208256,0,2,37,25000,False
F023,ASHOKA STREET HWC 33,Chennai,Madhavaram,Puzhal UPHC,None,13.175351,80.207021,0,1,37,25000,False
F024,Corporation EMS street HWC 24,Chennai,Madhavaram,Puzhal UPHC,None,13.170637,80.191075,0,0,37,25000,False
F025,KANNABIRAN UPHC,Chennai,Madhavaram,Puzhal UPHC,None,13.156337,80.198382,0,1,67,45000,False
F026,KANNAPPA STREET HWC 28,Chennai,Madhavaram,Puzhal UPHC,None,13.151894,80.196684,0,2,37,25000,False
F027,KATHIRVEDU HWC 31,Chennai,Madhavaram,Puzhal UPHC,None,13.15253,80.198039,0,1,37,25000,False
F028,Kosamani street HWC 23,Chennai,Madhavaram,Puzhal UPHC,None,13.168571,80.200645,0,1,37,25000,False
F029,MADHAVARAM GH,Chennai,Madhavaram,Puzhal UPHC,None,13.160605,80.195985,0,2,52,35000,False
F030,Pukraj nagar HWC 25,Chennai,Madhavaram,Puzhal UPHC,None,13.157509,80.2178,0,0,37,25000,False
F031,PUTHAGARAM HWC 32,Chennai,Madhavaram,Puzhal UPHC,None,13.168941,80.207974,0,0,37,25000,False
F032,Srinivasan perumal kovil street HWC26,Chennai,Madhavaram,Puzhal UPHC,None,13.154634,80.211574,0,1,37,25000,False
F033,THANIKACHALAM NAGAR HWC 30,Chennai,Madhavaram,Puzhal UPHC,None,13.154402,80.201084,0,0,37,25000,False
F034,Korrukupet Uphc,Chennai,Tondiarpet,CDH,Uniamp,13.1241,80.2934,260,11,1646,41642,True
F035,Annai Sathya Nagar HWC,Chennai,Tondiarpet,CDH,None,13.142286,80.2958,0,2,37,25000,False
F036,CHERIAN NAGAR UPHC,Chennai,Tondiarpet,CDH,None,13.129308,80.297138,0,3,67,45000,False
F037,GOVT. PERIPHERAL HOSPITAL,Chennai,Tondiarpet,CDH,None,13.137886,80.29988,0,8,120,80000,False
F038,JEEVA NAGAR SOUTH,Chennai,Tondiarpet,CDH,None,13.119471,80.277563,0,0,52,35000,False
F039,KASIMA NAGAR UPHC,Chennai,Tondiarpet,CDH,None,13.122064,80.284632,0,3,67,45000,False
F040,Poondithangammal Street HWC,Chennai,Tondiarpet,CDH,None,13.118929,80.304887,0,0,37,25000,False
F041,Ranganathapuram Slum HWC,Chennai,Tondiarpet,CDH,None,13.138891,80.28604,0,2,37,25000,False
F042,Singaravelan Nagar Pallam Paguthi HWC,Chennai,Tondiarpet,CDH,None,13.132263,80.288469,0,1,37,25000,False
F043,V.O.C. Nagar UPHC,Chennai,Tondiarpet,CDH,None,13.140036,80.290366,0,5,67,45000,False
F044,VOC Nagar Tsunami Quarters HWC,Chennai,Tondiarpet,CDH,None,13.120546,80.283999,0,2,37,25000,False
F045,Sharma Nagar,Chennai,Kodungaiyur,Kodungaiyur UPHC,Uniamp,13.1367,80.2456,260,5,1484,58236,True
F046,ECHS Polyclinic Chennai,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.140741,80.244082,0,1,52,35000,False
F047,Indragandhi Nagar Hwc,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.141438,80.263135,0,1,37,25000,False
F048,mdu_dist_cnn,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.135882,80.24278,0,0,52,35000,False
F049,MKB nagar HWC,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.153826,80.251486,0,0,37,25000,False
F050,Muthamizh nagar HWC,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.126627,80.237613,0,0,37,25000,False
F051,Nethaji Nagar 6Th Street,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.127189,80.255023,0,3,52,35000,False
F052,R K NAGAR NORTH HP,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.147662,80.248865,0,2,52,35000,False
F053,Venkateshwaranagar Hwc,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.125806,80.247649,0,1,37,25000,False
F054,VYASERPADI EAST,Chennai,Kodungaiyur,Kodungaiyur UPHC,None,13.153784,80.252073,0,2,52,35000,False
F055,BRN Garden UPHC,Chennai,Basin Bridge,Basin Briadge UPHC,Uniamp,13.1089,80.2812,260,18,1681,49394,True
F056,Amman Koil South,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.118732,80.286023,0,4,52,35000,False
F057,BBD (HWC),Chennai,Basin Bridge,Basin Briadge UPHC,None,13.089944,80.281822,0,2,37,25000,False
F058,BRN Garden,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.110051,80.276309,0,1,52,35000,False
F059,BRN Garden (HWC),Chennai,Basin Bridge,Basin Briadge UPHC,None,13.097605,80.279429,0,2,37,25000,False
F060,Chennai port authority hospital,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.092947,80.273243,0,3,120,80000,False
F061,Harbour,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.103212,80.288814,0,1,52,35000,False
F062,Harbour(HWC),Chennai,Basin Bridge,Basin Briadge UPHC,None,13.115876,80.268102,0,1,37,25000,False
F063,Perumal Koil Garden,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.104618,80.26556,0,3,52,35000,False
F064,PKG (HWC),Chennai,Basin Bridge,Basin Briadge UPHC,None,13.116979,80.286316,0,1,37,25000,False
F065,Seven wells,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.098553,80.279368,0,4,52,35000,False
F066,Seven wells (HWC),Chennai,Basin Bridge,Basin Briadge UPHC,None,13.107869,80.264785,0,0,37,25000,False
F067,Harbour Uphc,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.112475,80.276381,0,5,67,45000,False
