facility_id,date,cartridges
F001,2026-03-13,50
F001,2026-03-14,49
F001,2026-03-15,47
F001,2026-03-16,44
F001,2026-03-17,43
F001,2026-03-18,42
F001,2026-03-19,39
F001,2026-03-20,37
F001,2026-03-21,36
F001,2026-03-22,34
F001,2026-03-23,33
F001,2026-03-24,32
F001,2026-03-25,30
F001,2026-03-26,30
F001,2026-03-27,30
F001,2026-03-28,29
F001,2026-03-29,29
F001,2026-03-30,27
F001,2026-03-31,26
F001,2026-04-01,26
F001,2026-04-02,23
F001,2026-04-03,22
F001,2026-04-04,20
F001,2026-04-05,20
F001,2026-04-06,19
F001,2026-04-07,17
F001,2026-04-08,17
F001,2026-04-09,15
F001,2026-04-10,14
F001,2026-04-11,13
F001,2026-04-12,12
F001,2026-04-13,9
F001,2026-04-14,8
F001,2026-04-15,8
F001,2026-04-16,6
F001,2026-04-17,6
F001,2026-04-18,4
F001,2026-04-19,4
F001,2026-04-20,4
F001,2026-04-21,2
F001,2026-04-22,0
F001,2026-04-23,0
F001,2026-04-24,0
F001,2026-04-25,0
F001,2026-04-26,0
F001,2026-04-27,0
F001,2026-04-28,0
F001,2026-04-29,0
F001,2026-04-30,0
F001,2026-05-01,0
F001,2026-05-02,0
F001,2026-05-03,0
F001,2026-05-04,0
F001,2026-05-05,0
F001,2026-05-06,0
F001,2026-05-07,0
F001,2026-05-08,0
F001,2026-05-09,0
F001,2026-05-10,0
F001,2026-05-11,0
F001,2026-05-12,0
F001,2026-05-13,0
F001,2026-05-14,0
F001,2026-05-15,0
F001,2026-05-16,0
F001,2026-05-17,0
F001,2026-05-18,0
F001,2026-05-19,0
F001,2026-05-20,0
F001,2026-05-21,0
F001,2026-05-22,0
F001,2026-05-23,0
F001,2026-05-24,0
F001,2026-05-25,0
F001,2026-05-26,0
F001,2026-05-27,0
F001,2026-05-28,0
F001,2026-05-29,0
F001,2026-05-30,0
F001,2026-05-31,0
F001,2026-06-01,0
F001,2026-06-02,0
F001,2026-06-03,0
