id,name,district,lat,lon,monthly_capacity,current_cases,presumptive_tests
F001,PHC Pusegaon,Satara,17.710147,74.323295,35658,0,43
F002,MUNDHWA,Pune,18.533994,73.927639,62050,0,30
F003,UPHC Miraj Urban,Sangli,16.820266,74.630868,47000,1,39
F004,UPHC Sakhar Karkhana,Sangli,16.878485,74.581542,53748,0,17
F005,PHC Rahimatpur,Satara,17.589867,74.200708,41452,2,1190
F006,UPHC Indira Nagar,Sangli,16.828924,74.663829,63279,0,2
F007,UPHC Shamrao Nagar,Sangli,16.838626,74.576912,52826,3,2268
F008,PHC Wathar K.,Satara,17.526972,74.19643,35000,0,770
F009,UPHC Miraj Urban,Sangli,16.820266,74.930868,47000,1,4000
F010,HEALTH CAMP,Pune,18.489507,73.959013,55000,36,1631
F011,HEALTH CAMP,Pune,18.529392,73.832817,55000,36,1631
F012,UPHC Sakhar Karkhana,Sangli,16.878427,74.581262,53748,1,4108
F013,Civil Hospital,Pune,18.492495,73.866703,20000,0,10
F014,BARATE DISP,Pune,18.475139,73.797582,30679,17,1334
F015,Civil Hospital Satara,Satara,17.692302,74.010397,155000,70,1500
F016,MOHAMMADWADI,Pune,18.467113,73.92,56000,28,885
F017,KALAS,Pune,18.578867,73.875904,111346,10,2194
F018,PHC Saigaon,Satara,17.796888,73.941124,29000,5,866
F019,UPHC Godoli,Satara,17.682598,74.011335,71000,1,1290
F020,PHC Rajale,Satara,18.024071,74.54095,59000,6,1646
